sample,MYCN,RET,KIT,PROM1,PTRH2,TLE5,TLE1,GAPDH,TCF7,RELA,RPL30,PSMC5,WDTC1,RRP1,HNRNPL,PCBP1,RER1,A2ML1,ZFHX3
GTEX-13FHP-0011-R7b-SM-5LZYI,-1.51,-2.053,-0.3022,0.1257,1.656,7.032,3.436,9.77,-0.9406,2.939,8.04,5.344,2.729,1.537,4.747,5.006,3.665,-0.2498,-0.9406
TCGA-44-6146-11,-2.388,-1.431,4.381,-2.388,3.52,8.877,4.179,9.639,3.39,5.92,10.72,6.85,5.553,3.358,7.316,8.198,6.247,-5.574,2.785
TCGA-QK-A64Z-01,-2.548,0.6699,-1.431,-4.293,5.671,8.416,3.705,12.41,4.552,5.555,11.27,7.38,4.859,4.655,7.608,7.844,7.321,3.627,-0.2498
TCGA-SL-A6JA-01,-2.388,1.145,-2.826,0.2029,5.286,9.409,7.221,11.98,1.651,6.159,11.1,7.913,0.688,4.685,7.866,7.63,6.669,2.412,0.4125
TCGA-AC-A2FK-01,-0.7834,1.923,6.322,6.825,4.341,8.634,5.344,10.51,5.233,5.954,11.13,7.194,5.845,4.188,7.658,8.088,6.646,-2.635,2.008
TCGA-56-7222-01,-4.293,-2.388,2.284,1.496,5.621,8.107,4.726,13.58,1.774,5.152,11.37,7.702,3.442,4.524,7.884,8.424,6.877,0.5069,1.501
TCGA-VP-A879-01,-4.035,0.7916,0.6239,-0.6643,4.831,9.537,5.468,10.46,2.365,5.982,11.34,7.104,5.346,4.257,7.835,7.909,6.938,-1.51,2.87
TCGA-29-A5NZ-01,2.452,3.144,3.227,5.867,3.751,8.224,7.518,12.04,3.121,6.697,11.12,6.681,6.252,4.35,8.183,8.495,5.923,-1.318,4.719
TCGA-CG-4462-01,0.1388,1.647,3.321,5.696,4.51,8.272,4.958,11.02,3.286,6.233,10.6,6.691,5.127,3.138,7.244,7.639,7.054,-5.574,3.3
TCGA-CH-5751-01,-1.685,-0.8599,0.0854,-2.315,4.648,8.352,5.199,10.65,4.328,5.801,12.68,6.491,4.578,4.474,7.901,7.654,6.574,-3.626,3.101
TCGA-DA-A1I4-06,-2.315,-2.315,3.776,-0.8084,5.385,8.11,2.801,12.95,2.078,5.345,11.13,7.207,4.486,4.545,7.669,8.499,6.981,-9.966,-0.1665
TCGA-HC-8265-01,-7.85,-1.007,1.069,-1.076,3.845,7.327,3.917,9.381,2.474,4.866,10.81,5.336,3.58,2.169,6.968,5.94,5.304,-2.339,3.832
GTEX-ZE7O-1526-SM-5J1NH,-1.51,1.368,3.588,-3.308,3.678,8.63,5.327,10.11,2.614,6.491,11.66,6.69,3.927,3.297,7.446,8.197,6.012,-5.574,0.5069
TCGA-37-4129-01,-5.012,3.297,2.186,5.23,4.317,9.871,5.933,10.85,-0.1993,5.377,10.95,7.197,5.042,3.524,7.565,7.863,6.148,-6.506,2.465
TCGA-DD-AAVZ-01,0.8805,-6.506,-2.466,-2.932,4.837,7.537,6.423,10.58,2.128,5.119,11.58,6.727,3.409,3.567,6.807,8.171,6.094,-4.293,0.2762
